ID;Nombre de la Técnica;Categoría;Tipo;Estado Inicial (Notación);Estado Final Exitoso (Notación);Estado Final Fallido (Notación);Tiempo (s);Costo de Energía;Ganancia de Energía
T01;Derribo de Doble Pierna;Derribo;Ofensiva;Pos(A:De_Pie, O:De_Pie);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Pos(A:De_Pie, O:De_Pie) | ModP(A:Postura_Rota);3;7;0
T02;Proyección Osoto Gari;Derribo;Ofensiva;Pos(A:De_Pie, O:De_Pie) | Grip(A:Control_Judo);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:De_Pie, O:De_Pie) | ModP(A:Desequilibrado);4;9;0
T03;Pase de Guardia Torreando;Pase de Guardia;Ofensiva;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);5;3;0
T04;Pase de Rodilla Deslizante;Pase de Guardia;Ofensiva;Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior) | ModL(O:Underhook);6;5;0
T05;Pase de Guardia por Apilamiento;Pase de Guardia;Ofensiva;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Pos(A:Norte_Sur_Superior, O:Norte_Sur_Inferior);Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior);7;6;0
T06;Estrangulamiento de Triángulo;Sumision;Ofensiva;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Roto);Estado(Sumisión:Triángulo);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(O:Erguido);8;5;0
T07;Palanca de Brazo (Armbar);Sumision;Ofensiva;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Roto);Estado(Sumisión:Palanca_de_Brazo);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(O:Apilado);6;5;0
T08;Estrangulamiento de Guillotina;Sumision;Ofensiva;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModL(O.Cabeza:Bajo_A.Axila);Estado(Sumisión:Guillotina);Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);5;7;0
T09;Raspado de Tijera;Raspado;Defensiva;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior);Pos(A:Montada_Superior, O:Montada_Inferior);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);4;2;9
T10;Omoplata;Sumision;Ofensiva;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(O:Roto);Estado(Sumisión:Omoplata);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(O:Erguido);7;9;0
T11;Americana desde Montada;Sumision;Ofensiva;Pos(A:Montada_Superior, O:Montada_Inferior);Estado(Sumisión:Americana);Pos(A:Montada_Superior, O:Montada_Inferior) | ModL(O.Brazo:Defendido);5;9;0
T12;Estrangulamiento Cruzado;Sumision;Ofensiva;Pos(A:Montada_Superior, O:Montada_Inferior) | Grip(A:Control_Solapas);Estado(Sumisión:Estrangulamiento_Cruzado);Pos(A:Montada_Superior, O:Montada_Inferior) | Grip(O:Defensa_Brazos);6;6;0
